source_char,target_char,count
1,I,111
0,O,100
6,G,47
8,B,43
5,S,17
S,S,6
2,2,4
s,s,3
G,G,3
C,C,3
4,4,2
a,a,2
T,T,2
A,A,2
i,n,1
n,e,1
a,n,1
n,d,1
i,s,1
s,e,1
2,S,1
5,2,1
2,I,1
c,e,1
a,e,1
L,L,1
R,o,1
o,o,1
o,m,1
8,O,1
m,O,1
n,N,1
m,m,1
P,P,1
R,R,1
I,I,1
E,E,1
E,S,1
S,T,1
A,E,1
E,C,1
C,E,1
E,M,1
M,P,1
P,T,1
T,I,1
I,C,1
C,N,1
